timestamp,event
1620170392.6979964,start_1
1620170396.7174103,end_1
1620170403.371713,start_1
1620170407.387346,end_1
1620170414.5468268,start_2
1620170418.5642982,end_2
1620170424.2180786,start_1
1620170428.2364056,end_1
1620170435.5181115,start_3
1620170439.5351229,end_3
1620170446.8197799,start_1
1620170450.8391073,end_1
1620170457.8756087,start_3
1620170461.8966458,end_3
1620170468.6884186,start_1
1620170472.7056224,end_1
1620170478.8604026,start_3
1620170482.8788989,end_3
1620170489.1555328,start_1
1620170493.173782,end_1
1620170500.2048957,start_2
1620170504.2221212,end_2
1620170510.1256251,start_3
1620170514.1464977,end_3
1620170520.8047564,start_2
1620170524.8223968,end_2
1620170531.730874,start_2
1620170535.747742,end_2
1620170541.3985016,start_3
1620170545.4178083,end_3
1620170551.698426,start_3
1620170555.7160206,end_3
1620170561.4929247,start_3
1620170565.5125577,end_3
1620170572.1698883,start_3
1620170576.188024,end_3
1620170582.843875,start_2
1620170586.8603797,end_2
1620170593.7684388,start_1
1620170597.7852457,end_1
1620170604.946321,start_2
1620170608.9628482,end_2
1620170615.241551,start_1
1620170619.2596314,end_1
1620170625.7897418,start_2
1620170629.80621,end_2
1620170636.5864146,start_2
1620170640.6066847,end_2
1620170646.2612026,start_3
1620170650.2779417,end_3
1620170656.0521526,start_1
1620170660.0722768,end_1
1620170666.9797592,start_1
1620170670.996681,end_1
1620170676.6464715,start_3
1620170680.6625433,end_3
1620170687.1908119,start_2
1620170691.2085314,end_2
1620170697.8634853,start_2
1620170701.8831563,end_2
