timestamp,event
1620440361.9875433,start_1
1620440366.0073874,end_1
1620440372.6646278,start_1
1620440376.6845055,end_1
1620440383.5934062,start_2
1620440387.6097422,end_2
1620440394.012297,start_2
1620440398.0325837,end_2
1620440405.5667915,start_2
1620440409.5836258,end_2
1620440415.6123257,start_2
1620440419.6336794,end_2
1620440425.2815835,start_3
1620440429.2991047,end_3
1620440434.8243167,start_2
1620440438.8398468,end_2
1620440446.3752656,start_3
1620440450.3975008,end_3
1620440456.9334013,start_1
1620440460.9548597,end_1
1620440467.8677254,start_1
1620440471.88627,end_1
1620440479.1712291,start_3
1620440483.1861567,end_3
1620440489.7129834,start_2
1620440493.7233958,end_2
1620440499.7504034,start_3
1620440503.7660728,end_3
1620440510.548168,start_3
1620440514.56454,end_3
1620440520.3414657,start_1
1620440524.3562868,end_1
1620440530.508867,start_1
1620440534.5264196,end_1
1620440542.059816,start_2
1620440546.0800257,end_2
1620440551.732285,start_1
1620440555.7474263,end_1
1620440562.1491446,start_3
1620440566.1651,end_3
1620440572.5717602,start_3
1620440576.588355,end_3
1620440583.1198997,start_3
1620440587.1391137,end_3
1620440594.0445273,start_3
1620440598.0635996,end_3
1620440605.2212203,start_2
1620440609.2387094,end_2
1620440615.517877,start_1
1620440619.5379872,end_1
1620440625.315261,start_1
1620440629.3342566,end_1
1620440635.9882603,start_2
1620440640.0075192,end_2
1620440645.908214,start_3
1620440649.9271705,end_3
1620440656.835887,start_1
1620440660.8553233,end_1
1620440666.6319213,start_2
1620440670.649494,end_2
