timestamp,event
1620615999.2392716,start_1
1620616003.2576427,end_1
1620616009.028686,start_2
1620616013.0385983,end_2
1620616018.9401052,start_3
1620616022.9612753,end_3
1620616028.6150346,start_2
1620616032.6341739,end_2
1620616038.5372956,start_2
1620616042.5564914,end_2
1620616048.5855942,start_1
1620616052.6038992,end_1
1620616059.2624538,start_1
1620616063.283737,end_1
1620616069.944179,start_1
1620616073.9626653,end_1
1620616081.123881,start_2
1620616085.1442394,end_2
1620616091.5550165,start_3
1620616095.573091,end_3
1620616102.4861326,start_3
1620616106.5016181,end_3
1620616112.1554768,start_3
1620616116.171386,end_3
1620616123.4587226,start_1
1620616127.4756503,end_1
1620616135.0109565,start_2
1620616139.0282292,end_2
1620616145.6868908,start_1
1620616149.7054734,end_1
1620616155.6131685,start_3
1620616159.630449,end_3
1620616165.5329409,start_2
1620616169.551207,end_2
1620616176.836027,start_3
1620616180.8534925,end_3
1620616188.3897905,start_3
1620616192.4004068,end_3
1620616199.5527947,start_1
1620616203.572306,end_1
1620616210.1031067,start_2
1620616214.1197655,end_2
1620616221.026079,start_3
1620616225.0444193,end_3
1620616232.4567657,start_1
1620616236.4733899,end_1
1620616243.0069335,start_2
1620616247.0261233,end_2
1620616254.3115673,start_3
1620616258.3318105,end_3
1620616265.1125073,start_2
1620616269.1311584,end_2
1620616275.5392308,start_2
1620616279.5559042,end_2
1620616285.2088046,start_3
1620616289.2280257,end_3
1620616295.7570043,start_1
1620616299.7747693,end_1
1620616306.4326892,start_1
1620616310.44993,end_1
